IF1602,股指02,中金所
IF1603,股指03,中金所
IF1609,股指09,中金所
IF1606,股指06,中金所
TF1603,国债03,中金所
TF1606,国债06,中金所
TF1609,国债09,中金所
ag1602,沪银02,上期所
ag1603,沪银03,上期所
ag1604,沪银04,上期所
ag1605,沪银05,上期所
ag1606,沪银06,上期所
ag1607,沪银07,上期所
ag1608,沪银08,上期所
ag1609,沪银09,上期所
ag1610,沪银10,上期所
ag1611,沪银11,上期所
ag1612,沪银12,上期所
ag1601,沪银01,上期所
al1602,沪铝02,上期所
al1603,沪铝03,上期所
al1604,沪铝04,上期所
al1605,沪铝05,上期所
al1606,沪铝06,上期所
al1607,沪铝07,上期所
al1608,沪铝08,上期所
al1609,沪铝09,上期所
al1610,沪铝10,上期所
al1611,沪铝11,上期所
al1612,沪铝12,上期所
al1601,沪铝01,上期所
au1602,沪金02,上期所
au1603,沪金03,上期所
au1604,沪金04,上期所
au1605,沪金05,上期所
au1606,沪金06,上期所
au1607,沪金07,上期所
au1608,沪金08,上期所
au1609,沪金09,上期所
au1610,沪金10,上期所
au1611,沪金11,上期所
au1612,沪金12,上期所
au1601,沪金01,上期所
cu1602,沪铜02,上期所
cu1603,沪铜03,上期所
cu1604,沪铜04,上期所
cu1605,沪铜05,上期所
cu1606,沪铜06,上期所
cu1607,沪铜07,上期所
cu1608,沪铜08,上期所
cu1609,沪铜09,上期所
cu1610,沪铜10,上期所
cu1611,沪铜11,上期所
cu1612,沪铜12,上期所
cu1601,沪铜01,上期所
fu1603,燃油03,上期所
fu1604,燃油04,上期所
fu1605,燃油05,上期所
fu1606,燃油06,上期所
fu1607,燃油07,上期所
fu1608,燃油08,上期所
fu1609,燃油09,上期所
fu1610,燃油10,上期所
fu1611,燃油11,上期所
fu1612,燃油12,上期所
fu1601,燃油01,上期所
hc1602,热卷02,上期所
hc1603,热卷03,上期所
hc1604,热卷04,上期所
hc1605,热卷05,上期所
hc1606,热卷06,上期所
hc1607,热卷07,上期所
hc1608,热卷08,上期所
hc1609,热卷09,上期所
